NAME,RATING,DATE,REVIEW
Ivan,4.0 out of 5 stars,"Reviewed in the United States on October 12, 2023",At first I truly HATED these earbuds. I used the galaxy buds plus before them and believed they were superior in every single way. I would still repurchase a pair of those if these current ones do stop working but one of the earbuds went through a full washer and dryer cycle and still works just fine. It will be kind of glitchy when attempting to charge them in the case but the sound quality was not changed at all. One thing that is unforgivable in my opinion and was an issue from day one is the buds and the cases battery life. Its comical how fast they will be dying after using them for maybe a few hours
Vanessa A.,5.0 out of 5 stars,"Reviewed in the United States on November 4, 2023","I had Samsung Buds Live. I really liked them but they slipped a lot. I looked around after one of the right charging prongs broke in the case. I came across these, they match my case colors and popsocket, so I bought them! I looooove them! They stay in my ears well, very comfortable and I can lay down comfortably with them in. Charge lasts much longer compared to my last buds, I really like that I can switch between ambient and nose reduction now. Connection was really easy, my phone picked them up right away, and I was able to keep my old buds case 😁"
Adrianne,4.0 out of 5 stars,"Reviewed in the United States on October 20, 2023","I really like them! I've never had high end earbuds before (Samsung buds, beats, airpods ect) so this would be my first, but the noise cancelling is good, and the sound is great! the only issue i have is that they don't work with calls. I have to talk super loud to be heard for some reason. I bought mine refurbished, so it probably had to do with that. Overall, I love the sound and the color is beautiful. I totally recommend!"
Galaxy Note User,5.0 out of 5 stars,"Reviewed in the United States on September 26, 2023","This my 4th pair of galaxy buds. I purchased the original which I LOVED, then I upgraded to the plus, then the buds live, I loved them all. Now I have these and I have to say I'm kinda upset that I waited so long. I let reviews about them not fitting well enough stop me from purchasing bc I will be working, out among other thing with them on. But I have them and they fit perfectly just like the first generation. I have tested out chewing and shaking my head with them and they haven't budged. If that changes I'll update. But so far so good. The same great quality and sound as the previous buds!

I will say I was kinda thrown off by the white case I am used to case being the same color as the buds. Also I was never crazy about the square case that started with the buds live, so I had hopes the the original case would make a come back either way I'm still satisfied."
Whitnie Douglass,4.0 out of 5 stars,"Reviewed in the United States on August 5, 2023","have gone through a lot of ear buds in hopes to find the perfect pair. The sound on these bad boys is amazing. It will literally drawn out other sounds. It also plays a sound when you have them in your ears which is another feature I like and have not seen. There is one issue that has been appearing in most of the ear buds above 50$, the battery is equal or less than 4 hours. I have tried to do different ways they say can make the battery last longer but most of those tricks are in lifetime, not in one use. However, if you make sure they are 100% charged before you use them, then you get a little more time. But I am able to put them into the box to charge for about 30 minutes and I can get 8 more hours to finish my shift at work. I like them a lot, just wish the battery was"
sandysoyke,5.0 out of 5 stars,"Reviewed in the United States on October 30, 2023",Battery life was great. Sound quality was great. I could still hear other noise but then I have tried so many sets of earbuds and headphones and have not found any yet that are completely noise proof. So these are just as good as all the rest are claiming to be. Great job.
Nicholas Thibault,4.0 out of 5 stars,"Reviewed in the United States on August 9, 2023","I would love to give these a 5 star review, unfortunately they only have one flaw. I've been using these for a few months now, upgraded from my previous galaxy buds and they work seamlessly with my Samsung Galaxy S23+. They paired immediately and easily and they connect WHENEVER I remove them from my ear. No connectivity issues, audio quality is awesome and they seam to cancel or allow exterior noise based on whatever setting I use pretty well.

My only complaint, the design of these to automatically turn on and pair relies on their orientation. What's the issue? If I turn my head too far to one side or the other, they will disconnect as if taken out of my ear. This seamed to be a similar issue I had with my last ones but they weren't as sensitive. This is the only reason for 4/5 stars."
Alexa Resendiz,5.0 out of 5 stars,"Reviewed in the United States on September 28, 2023","Set up is super easy it only took me like a 3 minutes from when i opened the box to set it up on my phone(with the galaxy wearable app) . I had galaxy buds pro, that I loved but had accidentally put in the washer which sadly ruined them. I had strayed a little from samsung while looking a new pair but I was reminded of the last time I had brought non samsung headphones I got an ear infection.. so I settled on Galaxybuds2 and man am I happy, they are way more comfortable. My ears don't get as fatigued as they did when I wore my buds pro and they sound about the same. The seal is better at keeping sound out then my previous buds pro."
Savannah,4.0 out of 5 stars,"Reviewed in the United States on September 26, 2023","Really great headphones ! Very similar quality to pairs I have gotten from Samsung website. I feel they are authentic, the ones sold online usually have some mistake with typos or design.
It does have trouble connecting to the wearable app and my phone on occasion, but for what I paid it's worth it"
opsmanp,4.0 out of 5 stars,"Reviewed in the United States on October 4, 2023",These earbuds fit well and the sound quality is pretty good. My only complaint so far is that the battery life is pretty short imo; needs recharge after an hour or so of use. I like these otherwise.
